441604;Accipiter bicolor;Accipiter bicolor (Vieillot, 1817);Épervier bicolore;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
645315;Accipiter cooperii;Accipiter cooperii (Bonaparte, 1828);Épervier de Cooper;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
698711;Accipiter efficax;Accipiter efficax Balouet & Olson, 1989;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441605;Accipiter fasciatus;Accipiter fasciatus (Vigors & Horsfield, 1826);;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
432708;Accipiter fasciatus vigilax;Accipiter fasciatus vigilax (Wetmore, 1926);Autour australien, Émouchet gris;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
459459;Accipiter francesiae;Accipiter francesiae Smith, 1834;Épervier de Mayotte;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441606;Accipiter francesii;Accipiter francesii A. Smith, 1834;Épervier de Mayotte;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
418715;Accipiter francesii brutus;Accipiter francesii brutus (Schlegel, 1866);Épervier de Frances;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2891;Accipiter gentilis;Accipiter gentilis (Linnaeus, 1758);Autour des palombes;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
416684;Astur palumbarius;Astur palumbarius Linnaeus, 1758;Autour des palombes;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2893;Falco gentilis;Falco gentilis Linnaeus, 1758;Autour des palombes;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2894;Accipiter gentilis arrigonii;Accipiter gentilis arrigonii (Kleinschmidt, 1903);Autour des palombes (ssp. de Corse);Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782301;Accipiter gentilis gentilis;Accipiter gentilis gentilis (Linnaeus, 1758);;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
432607;Accipiter haplochrous;Accipiter haplochrous P. L. Sclater, 1859;Autour à ventre blanc, Émouchet bleu, Épervier à ventre blanc, Buse blanche, Buse;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2895;Accipiter nisus;Accipiter nisus (Linnaeus, 1758);Épervier d'Europe;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2898;Accipiter nisus nisus;Accipiter nisus nisus (Linnaeus, 1758);Épervier d'Europe;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2899;Accipiter nisus wolterstorffi;Accipiter nisus wolterstorffi Kleinschmidt, 1901;Épervier d'Europe;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2897;Falco nisus;Falco nisus Linnaeus, 1758;Épervier d'Europe;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441607;Accipiter poliogaster;Accipiter poliogaster (Temminck, 1824);Autour à ventre gris ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
698712;Accipiter quartus;Accipiter quartus Balouet & Olson, 1989;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441608;Accipiter striatus;Accipiter striatus Vieillot, 1807;Épervier brun;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441609;Accipiter superciliosus;Accipiter superciliosus (Linnaeus, 1766);Épervier nain ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441610;Accipiter ventralis;Accipiter ventralis P. L. Sclater, 1866;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2869;Aegypius monachus;Aegypius monachus (Linnaeus, 1766);Vautour moine;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2871;Vultur monachus;Vultur monachus Linnaeus, 1766;Vautour moine;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2634;Aquila adalberti;Aquila adalberti C. L. Brehm, 1861;Aigle ibérique;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2645;Aquila chrysaetos;Aquila chrysaetos (Linnaeus, 1758);Aigle royal;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
